ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613212009
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:20:59
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Deoxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08364356,-0.01800912,-0.14538389,-0.21675235,0.04906585,-0.07923666,0.05730901,0.03570550,-0.06095326,-0.19974847,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:09.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19861284,0.05137061,-0.02755057,-0.18832543,0.06993520,0.01108349,0.06991368,0.09663457,0.01414540,0.03119653,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:09.0,0,0
3,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23389333,0.07055406,-0.00332416,-0.10786137,0.06050596,0.01921034,0.05361219,0.07693547,0.02802392,0.11238332,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:09.0,0,0
4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12963237,0.04698411,-0.00750425,-0.03533456,0.04020062,0.01525380,0.02929608,0.05001522,0.01275626,0.02143020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:10.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12203467,0.00477214,-0.11902586,-0.08009502,-0.00475917,-0.06529925,-0.01233014,-0.02957547,-0.06633361,-0.10069795,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:10.0,0,0
6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15994160,0.04624837,-0.00037682,0.01393114,0.04917388,0.02786748,0.04494274,0.06300157,0.01893228,0.01849039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:10.0,0,0
7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15293689,0.05560584,0.00842502,-0.01166117,0.08464218,0.02890152,0.07231991,0.11019655,0.00910492,-0.06650343,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:10.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17239232,0.05372004,-0.02335271,-0.06190428,0.10262860,0.01306180,0.09883808,0.13496543,0.01120757,0.06647128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:10.0,0,0
9,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08097492,-0.02844717,-0.09557092,-0.19980079,0.05019276,-0.05025136,0.05336554,0.06347124,-0.02328804,0.09863975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:11.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21433306,0.06366800,0.00319109,-0.11755700,0.07949191,0.00970520,0.07398273,0.10828747,0.00814920,0.19314024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:11.0,0,0
11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30541089,0.08846404,0.03036120,-0.05719443,0.06429003,0.02743214,0.05131441,0.09278441,0.02682065,0.25051242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:11.0,0,0
12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27322292,0.08433890,0.03015449,-0.00066821,0.03852367,0.01152718,0.02050471,0.06675608,0.00838517,0.18346658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:11.0,0,0
13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20180534,0.03312754,0.01746942,0.03760154,0.01392846,0.00629488,-0.01262123,0.04243880,0.00539521,0.18283397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:11.0,0,0
14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25334832,0.06648751,0.04028673,0.05983321,0.04353223,0.01826127,0.00834338,0.07150713,0.01670625,0.11950161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22653858,0.06674228,0.03046203,0.06704540,0.07399180,0.01188107,0.06350911,0.12438411,0.00280204,0.15448965,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
